********************************************************************************
LOGGING TIME: 20200930_181119
CLIENT IP: 127.0.1.1
USERNAME: baba
OS: Linux
ARCHITECTURE: amd64
VERSION: 4.15.0-118-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 892, 940, 9
MM, 892, 937, 7
MM, 892, 935, 6
MM, 892, 933, 7
MM, 892, 931, 8
MM, 892, 929, 7
MM, 892, 927, 8
MM, 892, 925, 7
MM, 892, 923, 7
MM, 892, 921, 7
MM, 892, 917, 7
MM, 892, 915, 8
MM, 892, 912, 7
MM, 892, 909, 7
MM, 892, 907, 8
MM, 892, 905, 8
MM, 892, 903, 6
MM, 892, 902, 10
MM, 892, 900, 8
MM, 892, 898, 4
MM, 892, 897, 9
MM, 892, 896, 6
MM, 892, 895, 7
MM, 892, 894, 7
MM, 892, 893, 8
MM, 892, 892, 7
MM, 892, 891, 8
MM, 892, 890, 6
MM, 892, 889, 9
MM, 892, 888, 6
MM, 892, 887, 7
MM, 892, 886, 7
MM, 892, 884, 8
MM, 892, 884, 7
MM, 892, 883, 7
MM, 892, 883, 59
MM, 893, 883, 7
MM, 894, 883, 7
MM, 895, 884, 7
MM, 896, 888, 8
MM, 897, 893, 9
MM, 899, 900, 7
MM, 900, 905, 7
MM, 901, 911, 10
MM, 901, 917, 8
MM, 902, 925, 4
MM, 903, 933, 7
MM, 904, 940, 7
MM, 904, 945, 7
MM, 905, 950, 7
MM, 905, 954, 9
MM, 906, 960, 5
MM, 907, 966, 7
MM, 907, 972, 8
MM, 907, 980, 7
MM, 908, 986, 8
MM, 908, 992, 7
MM, 908, 996, 7
MM, 908, 1000, 7
MM, 908, 1003, 7
MM, 908, 1005, 8
MM, 908, 1006, 7
MM, 908, 1007, 7
MM, 908, 1008, 7
MM, 908, 1008, 9
MM, 908, 1010, 6
MM, 908, 1010, 9
MM, 908, 1011, 6
MM, 908, 1011, 7
MM, 908, 1013, 7
MM, 908, 1013, 8
MM, 908, 1014, 7
MM, 908, 1015, 7
MM, 908, 1016, 8
MM, 908, 1016, 7
MM, 908, 1017, 7
MM, 908, 1018, 7
MM, 908, 1018, 7
MM, 908, 1019, 8
MM, 908, 1020, 7
MM, 908, 1020, 8
MM, 908, 1021, 7
MM, 908, 1022, 7
MM, 908, 1023, 8
MM, 908, 1024, 6
MM, 908, 1025, 8
MM, 908, 1025, 7
MM, 908, 1026, 8
MM, 908, 1026, 7
MM, 908, 1027, 9
MM, 908, 1028, 9
MM, 908, 1028, 4
MM, 908, 1029, 7
MM, 908, 1030, 14
MM, 908, 1030, 3
MP, 1, 638
MR, 1, 98
MC, 1, 0
MM, 901, 1030, 11143
MM, 885, 1030, 7
MM, 840, 1030, 8
MM, 805, 1019, 7
MM, 757, 1008, 7
MM, 715, 995, 11
MM, 676, 984, 4
MM, 628, 971, 7
MM, 595, 960, 8
MM, 560, 947, 9
MM, 523, 930, 5
MM, 495, 914, 7
MM, 460, 899, 9
MM, 427, 884, 6
MM, 403, 871, 7
MM, 385, 858, 8
MM, 368, 840, 8
MM, 351, 821, 7
MM, 336, 801, 7
MM, 325, 786, 6
MM, 318, 773, 8
MM, 314, 764, 7
MM, 312, 757, 7
MM, 311, 754, 8
MM, 310, 753, 7
MM, 309, 752, 7
MM, 309, 751, 7
MM, 307, 751, 197
MM, 303, 751, 8
MM, 294, 751, 7
MM, 280, 751, 7
MM, 267, 751, 7
MM, 255, 750, 8
MM, 237, 747, 7
MM, 220, 743, 8
MM, 206, 740, 7
MM, 194, 737, 7
MM, 182, 735, 7
MM, 166, 732, 7
MM, 153, 730, 8
MM, 142, 729, 7
MM, 134, 728, 7
MM, 127, 728, 8
MM, 120, 728, 7
MM, 111, 728, 11
MM, 101, 728, 4
MM, 93, 728, 7
MM, 85, 728, 9
MM, 80, 728, 8
MM, 76, 728, 6
MM, 72, 728, 7
MM, 69, 728, 8
MM, 66, 728, 10
MM, 63, 728, 6
MM, 61, 728, 7
MM, 59, 728, 4
MM, 58, 728, 8
MM, 56, 728, 7
MM, 54, 728, 7
MM, 53, 728, 7
MM, 51, 728, 8
MM, 49, 728, 7
MM, 48, 728, 7
MM, 47, 727, 8
MM, 46, 726, 7
MM, 44, 726, 7
MM, 43, 725, 9
MM, 42, 724, 6
MM, 41, 724, 7
MM, 41, 724, 10
MM, 40, 724, 5
MM, 39, 724, 8
MM, 39, 724, 7
MM, 38, 724, 7
MM, 38, 724, 153
MP, 1, 220
MR, 1, 88
MC, 1, 0
MM, 44, 720, 727
MM, 64, 708, 7
MM, 114, 684, 9
MM, 163, 660, 7
MM, 219, 636, 8
MM, 265, 616, 5
MM, 318, 599, 7
MM, 361, 588, 8
MM, 407, 579, 7
MM, 455, 575, 7
MM, 501, 568, 7
MM, 556, 560, 8
MM, 611, 551, 7
MM, 661, 547, 7
MM, 707, 544, 8
MM, 746, 540, 7
MM, 779, 536, 8
MM, 807, 536, 7
MM, 833, 536, 6
MM, 855, 536, 8
MM, 870, 536, 7
MM, 884, 536, 8
MM, 894, 536, 7
MM, 904, 536, 7
MM, 911, 536, 7
MM, 916, 536, 8
MM, 919, 536, 7
MM, 921, 536, 7
MM, 923, 536, 9
MM, 924, 536, 6
MM, 925, 536, 7
MM, 925, 536, 7
MM, 926, 536, 22
MM, 927, 537, 59
MM, 927, 539, 7
MM, 927, 541, 8
MM, 927, 542, 7
MM, 927, 544, 7
MM, 927, 546, 8
MM, 927, 547, 7
MM, 927, 548, 7
MM, 927, 549, 8
MM, 927, 550, 7
MM, 927, 551, 7
MM, 927, 551, 7
MM, 927, 552, 7
MM, 927, 552, 9
MM, 927, 553, 6
MM, 927, 554, 7
MM, 927, 554, 7
MM, 927, 555, 7
MM, 927, 556, 8
MM, 927, 554, 6589
MM, 927, 552, 7
MM, 927, 549, 8
MM, 927, 547, 7
MM, 930, 544, 7
MM, 933, 540, 7
MM, 937, 536, 8
MM, 941, 532, 7
MM, 947, 526, 8
MM, 953, 520, 7
MM, 960, 515, 7
MM, 966, 510, 8
MM, 971, 507, 7
MM, 975, 503, 7
MM, 979, 501, 9
MM, 983, 498, 7
MM, 986, 496, 6
MM, 988, 495, 8
MM, 990, 495, 10
MM, 992, 493, 4
MM, 994, 493, 7
MM, 996, 492, 7
MM, 998, 491, 8
MM, 1000, 491, 7
MM, 1002, 490, 7
MM, 1005, 489, 7
MM, 1007, 489, 8
MM, 1009, 488, 7
MM, 1011, 487, 7
MM, 1013, 487, 8
MM, 1015, 486, 7
MM, 1017, 486, 7
MM, 1018, 486, 7
MM, 1020, 486, 7
MM, 1021, 486, 8
MM, 1023, 485, 8
MM, 1023, 485, 7
MM, 1024, 485, 9
MM, 1025, 485, 6
MM, 1025, 485, 8
MM, 1026, 485, 6
MM, 1028, 485, 9
MM, 1028, 485, 7
MM, 1030, 485, 6
MM, 1030, 485, 10
MM, 1031, 485, 7
MM, 1031, 485, 4
MM, 1032, 485, 8
MM, 1033, 485, 7
MM, 1033, 485, 14
MM, 1033, 487, 3251
MM, 1033, 491, 8
MM, 1033, 495, 7
MM, 1033, 500, 7
MM, 1033, 507, 7
MM, 1033, 518, 8
MM, 1033, 530, 7
MM, 1032, 541, 8
MM, 1031, 557, 7
MM, 1030, 580, 7
MM, 1028, 604, 7
MM, 1027, 628, 7
MM, 1025, 653, 9
MM, 1023, 674, 8
MM, 1022, 690, 5
MM, 1019, 710, 7
MM, 1017, 730, 8
MM, 1015, 745, 8
MM, 1014, 759, 12
MM, 1010, 774, 3
MM, 1007, 788, 9
MM, 1003, 801, 6
MM, 1000, 815, 8
MM, 998, 826, 6
MM, 997, 834, 8
MM, 995, 841, 10
MM, 994, 845, 3
MM, 993, 848, 7
MM, 992, 852, 7
MM, 991, 854, 7
MM, 990, 856, 8
MM, 990, 858, 8
MM, 989, 859, 7
MM, 988, 860, 7
MM, 988, 860, 8
MM, 988, 861, 6
MM, 988, 861, 7
MM, 988, 862, 8
MM, 988, 863, 7
MM, 987, 863, 7
MM, 987, 864, 8
MM, 987, 865, 7
MM, 987, 865, 7
MM, 986, 866, 8
MM, 986, 866, 7
MM, 985, 867, 7
MM, 985, 867, 7
MM, 987, 867, 95
MM, 991, 867, 9
